,vc1,vc2,vc,vc_int
4211,9-1-36(a),22-2-88(b),9-1-36(a),119
4212,9-1-36(a),9-1-104,9-1-36(a),119
4213,22-2-22,9-1-104,22-2-22,11
4214,9-1-36(a),9-1-104,9-1-36(a),119
4215,9-1-36(a),22-2-88(b),9-1-36(a),119
4216,9-1-36(a),9-1-104,9-1-36(a),119
4217,9-1-36(a),22-2-88(b),9-1-36(a),119
4218,9-1-36(a),9-1-104,9-1-36(a),119
4219,9-1-36(a),22-2-88(b),9-1-36(a),119
4220,9-1-36(a),9-1-104,9-1-36(a),119
4221,22-2-22,9-1-104,22-2-22,11
4222,9-1-36(a),22-2-22(a),9-1-36(a),119
4223,9-1-36(a),9-1-104,9-1-36(a),119
4224,22-2-22,22-2-22(a),22-2-22,11
4225,9-1-36(a),22-2-22(a),9-1-36(a),119
4226,9-1-36(a),22-2-45,9-1-36(a),119
4227,9-1-36(a),22-2-22(a),9-1-36(a),119
4228,9-1-36(a),22-2-88(b),9-1-36(a),119
4229,9-1-36(a),9-1-104,9-1-36(a),119
4230,9-1-36(a),9-1-104,9-1-36(a),119
4231,9-1-36(a),22-2-88(b),9-1-36(a),119
4232,9-1-36(a),9-1-104,9-1-36(a),119
4233,9-1-36(a),22-2-88(b),9-1-36(a),119
4234,9-1-36(a),9-1-104,9-1-36(a),119
4235,22-2-22,22-2-83(c),22-2-22,11
4236,19450901,9-1-104,19450901,0
4237,9-1-36(a),9-1-104,9-1-36(a),119
4238,9-1-36(a),9-1-104,9-1-36(a),119
4239,22-2-17,22-2-88(b),22-2-17,7
4240,9-1-36(a),22-2-88(a),9-1-36(a),119
4241,22-2-22,9-1-104,22-2-22,11
4242,9-1-36(a),22-2-83(c),9-1-36(a),119
4243,22-2-22,9-1-104,22-2-22,11
4244,9-1-36(a),22-2-88(b),9-1-36(a),119
4245,9-1-36(a),9-1-104,9-1-36(a),119
4246,9-1-103(C),9-1-104,9-1-103(C),74
4247,22-2-22,22-2-88(b),22-2-22,11
4248,9-1-36(a),9-1-104,9-1-36(a),119
4249,22-2-17,9-1-104,22-2-17,7
4250,22-2-17,22-2-88(b),22-2-17,7
4251,9-1-36(a),9-1-104,9-1-36(a),119
4252,9-1-36(a),9-1-104,9-1-36(a),119
4253,9-1-36(a),9-1-104,9-1-36(a),119
4254,9-1-36(a),22-2-88(b),9-1-36(a),119
4255,9-1-103(C),9-1-104,9-1-103(C),74
4256,22-2-17,9-1-104,22-2-17,7
4257,9-1-36(a),9-1-104,9-1-36(a),119
4258,22-2-17,9-1-104,22-2-17,7
4259,9-1-36(a),9-1-36(a),9-1-36(a),119
4260,9-1-103(C),9-1-36(a),9-1-103(C),74
4261,9-1-103(C),9-1-104,9-1-103(C),74
4262,9-1-36(a),9-1-110(a),9-1-36(a),119
4263,22-2-22,9-1-104,22-2-22,11
4264,22-2-22,9-1-104,22-2-22,11
4265,9-1-36(a),9-1-104,9-1-36(a),119
4266,9-1-36(a),9-1-104,9-1-36(a),119
4267,22-2-22,9-1-104,22-2-22,11
4268,22-2-22,9-1-104,22-2-22,11
4269,22-2-17,9-1-104,22-2-17,7
4270,9-1-103(C),22-2-88(a),9-1-103(C),74
4271,22-2-22,9-1-104,22-2-22,11
4272,9-1-36(a),9-1-104,9-1-36(a),119
4273,9-1-103(C),9-1-104,9-1-103(C),74
4274,9-1-36(a),9-1-104,9-1-36(a),119
4275,9-1-36(a),9-1-104,9-1-36(a),119
4276,22-2-22,9-1-104,22-2-22,11
4277,22-2-22,9-1-104,22-2-22,11
4278,9-1-36(a),9-1-104,9-1-36(a),119
4279,9-1-36(a),22-2-88(b),9-1-36(a),119
4280,22-2-17,9-1-104,22-2-17,7
4281,9-1-36(a),9-1-104,9-1-36(a),119
4282,9-1-36(a),9-1-110(a),9-1-36(a),119
4283,9-1-36(a),9-1-104,9-1-36(a),119
4284,9-1-36(a),9-1-104,9-1-36(a),119
4285,9-1-36(a),9-1-104,9-1-36(a),119
4286,9-1-36(a),9-1-104,9-1-36(a),119
4287,9-1-36(a),22-2-88(b),9-1-36(a),119
4288,9-1-101,9-1-104,9-1-101,71
4289,9-1-110(a),9-1-104,9-1-110(a),81
4290,9-1-110(a),9-1-104,9-1-110(a),81
4291,9-1-101,9-1-104,9-1-101,71
4292,9-1-36(a),9-1-104,9-1-36(a),119
4293,22-2-22,22-2-88(b),22-2-22,11
4294,9-1-36(a),9-1-104,9-1-36(a),119
4295,9-1-36(a),9-1-104,9-1-36(a),119
4296,9-1-36(a),9-1-104,9-1-36(a),119
4297,9-1-36(a),9-1-104,9-1-36(a),119
4298,9-1-103(C),9-1-104,9-1-103(C),74
4299,9-1-36(a),9-1-104,9-1-36(a),119
4300,22-2-22,9-1-104,22-2-22,11
4301,9-1-36(a),9-1-104,9-1-36(a),119
4302,9-1-36(a),9-1-104,9-1-36(a),119
4303,9-1-36(a),9-1-104,9-1-36(a),119
4304,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
4305,9-1-36(a),9-1-104,9-1-36(a),119
4306,9-1-36(a),9-1-104,9-1-36(a),119
4307,22-2-22,9-1-104,22-2-22,11
4308,9-1-36(a),9-1-104,9-1-36(a),119
4309,9-1-36(a),9-1-50 (e),9-1-36(a),119
4310,9-1-36(a),9-1-104,9-1-36(a),119
4311,9-1-36(a),22-2-88(b),9-1-36(a),119
4312,9-1-103(C),9-1-104,9-1-103(C),74
4313,9-1-36(a),22-2-88(b),9-1-36(a),119
4314,9-1-36(a),9-1-104,9-1-36(a),119
4315,22-2-22,9-1-104,22-2-22,11
4316,9-1-36(a),9-1-50 (e),9-1-36(a),119
4317,9-1-36(a),9-1-43(a) - (Dwellin,9-1-36(a),119
4318,9-1-36(a),9-1-104,9-1-36(a),119
4319,9-1-103(C),9-1-104,9-1-103(C),74
4320,9-1-36(a),9-1-104,9-1-36(a),119
4321,9-1-36(a),9-1-104,9-1-36(a),119
4322,9-1-36(a),9-1-104,9-1-36(a),119
4323,9-1-36(a),22-2-88(b),9-1-36(a),119
4324,9-1-36(a),9-1-104,9-1-36(a),119
4325,9-1-36(a),9-1-104,9-1-36(a),119
4326,22-2-22,9-1-110(a),22-2-22,11
4327,22-2-22,9-1-104,22-2-22,11
4328,9-1-36(a),9-1-104,9-1-36(a),119
4329,22-2-22,9-1-104,22-2-22,11
4330,9-1-36(a),9-1-104,9-1-36(a),119
4331,9-1-36(a),22-2-88(b),9-1-36(a),119
4332,22-2-17,22-2-88(b),22-2-17,7
4333,22-2-22,9-1-104,22-2-22,11
4334,9-1-36(a),9-1-104,9-1-36(a),119
4335,9-1-36(a),9-1-104,9-1-36(a),119
4336,9-1-36(a),9-1-104,9-1-36(a),119
4337,22-2-22,9-1-104,22-2-22,11
4338,9-1-36(a),9-1-50 (e),9-1-36(a),119
4339,9-1-36(a),9-1-104,9-1-36(a),119
4340,9-1-36(a),9-1-36(a),9-1-36(a),119
4341,9-1-36(a),9-1-103 (a) or (b),9-1-36(a),119
4342,22-2-17,9-1-104,22-2-17,7
4343,22-2-22,9-1-104,22-2-22,11
4344,22-2-22,22-2-88(b),22-2-22,11
4345,22-2-83(a)(b)(c),22-2-88(b),22-2-83(a)(b)(c),25
4346,9-1-36(a),9-1-104,9-1-36(a),119
4347,9-1-36(a),9-1-104,9-1-36(a),119
4348,22-2-22,22-2-88(b),22-2-22,11
4349,9-1-36(a),9-1-104,9-1-36(a),119
4350,9-1-36(a),9-1-104,9-1-36(a),119
4351,9-1-36(a),9-1-104,9-1-36(a),119
4352,9-1-36(a),9-1-104,9-1-36(a),119
4353,9-1-36(a),9-1-104,9-1-36(a),119
4354,22-2-22,22-2-88(b),22-2-22,11
4355,9-1-36(a),9-1-104,9-1-36(a),119
4356,9-1-36(a),22-2-88(b),9-1-36(a),119
4357,9-1-36(a),9-1-104,9-1-36(a),119
4358,9-1-36(a),9-1-104,9-1-36(a),119
4359,9-1-355,9-1-104,9-1-355,118
4360,9-1-36(a),22-2-45,9-1-36(a),119
4361,22-2-17,9-1-104,22-2-17,7
4362,22-2-17,22-2-88(b),22-2-17,7
4363,9-1-103(C),9-1-104,9-1-103(C),74
4364,9-1-36(a),9-1-104,9-1-36(a),119
4365,9-1-36(a),9-1-104,9-1-36(a),119
4366,9-1-36(a),9-1-104,9-1-36(a),119
4367,9-1-36(a),9-1-104,9-1-36(a),119
4368,9-1-36(a),9-1-104,9-1-36(a),119
4369,9-1-36(a),9-1-104,9-1-36(a),119
4370,22-2-22,22-2-88(b),22-2-22,11
4371,9-1-36(a),9-1-104,9-1-36(a),119
4372,22-2-17,9-1-104,22-2-17,7
4373,9-1-36(a),22-2-43,9-1-36(a),119
4374,9-1-36(a),9-1-104,9-1-36(a),119
4375,9-1-36(a),9-1-104,9-1-36(a),119
4376,9-1-36(a),9-1-104,9-1-36(a),119
4377,9-1-36(a),9-1-104,9-1-36(a),119
4378,9-1-36(a),9-1-104,9-1-36(a),119
4379,9-1-36(a),9-1-104,9-1-36(a),119
4380,9-1-36(a),22-2-88(b),9-1-36(a),119
4381,9-1-36(a),9-1-104,9-1-36(a),119
4382,9-1-36(a),9-1-104,9-1-36(a),119
4383,9-1-36(a),9-1-104,9-1-36(a),119
4384,9-1-36(a),22-2-88(b),9-1-36(a),119
4385,9-1-36(a),22-2-88(b),9-1-36(a),119
4386,9-1-36(a),9-1-104,9-1-36(a),119
4387,9-1-36(a),9-1-36(a),9-1-36(a),119
4388,9-1-36(a),9-1-205,9-1-36(a),119
4389,9-1-36(a),9-1-104,9-1-36(a),119
4390,9-1-36(a),22-2-88(b),9-1-36(a),119
4391,9-1-103(C),9-1-104,9-1-103(C),74
4392,22-2-22,9-1-81(a),22-2-22,11
4393,9-1-36(a),9-1-36(a),9-1-36(a),119
4394,9-1-36(a),9-1-82(d) - (Dwellin,9-1-36(a),119
4395,9-1-36(a),9-1-104,9-1-36(a),119
4396,9-1-36(a),22-2-88(b),9-1-36(a),119
4397,9-1-36(a),9-1-104,9-1-36(a),119
4398,9-1-36(a),9-1-104,9-1-36(a),119
4399,22-2-22,9-1-104,22-2-22,11
4400,9-1-36(a),9-1-104,9-1-36(a),119
4401,9-1-36(a),9-1-104,9-1-36(a),119
4402,9-1-36(a),22-2-88(b),9-1-36(a),119
4403,9-1-36(a),9-1-43(a) - (Dwellin,9-1-36(a),119
4404,9-1-36(a),9-1-104,9-1-36(a),119
4405,9-1-36(a),22-2-88(b),9-1-36(a),119
4406,22-2-22,9-1-104,22-2-22,11
4407,9-1-36(a),22-2-88(b),9-1-36(a),119
4408,9-1-36(a),9-1-36(a),9-1-36(a),119
4409,9-1-36(a),9-1-104,9-1-36(a),119
4410,9-1-36(a),9-1-104,9-1-36(a),119
4411,22-2-22,9-1-104,22-2-22,11
4412,9-1-36(a),9-1-104,9-1-36(a),119
4413,9-1-103(C),9-1-104,9-1-103(C),74
4414,22-2-22,22-2-88(b),22-2-22,11
4415,9-1-36(a),9-1-104,9-1-36(a),119
4416,22-2-22,22-2-88(b),22-2-22,11
4417,22-2-22,9-1-104,22-2-22,11
4418,9-1-36(a),9-1-104,9-1-36(a),119
4419,9-1-36(a),9-1-104,9-1-36(a),119
4420,9-1-103(C),22-2-88(b),9-1-103(C),74
4421,9-1-36(a),22-2-88(b),9-1-36(a),119
4422,9-1-36(a),9-1-104,9-1-36(a),119
4423,22-2-22,9-1-104,22-2-22,11
4424,22-2-22,9-1-104,22-2-22,11
4425,22-2-22,9-1-104,22-2-22,11
4426,22-2-22,9-1-104,22-2-22,11
4427,9-1-36(a),22-2-88(b),9-1-36(a),119
4428,9-1-36(a),9-1-104,9-1-36(a),119
4429,9-1-36(a),22-2-88(b),9-1-36(a),119
4430,9-1-36(a),9-1-104,9-1-36(a),119
4431,9-1-36(a),9-1-104,9-1-36(a),119
4432,9-1-36(a),9-1-104,9-1-36(a),119
4433,9-1-36(a),9-1-104,9-1-36(a),119
4434,9-1-36(a),9-1-104,9-1-36(a),119
4435,9-1-36(a),9-1-104,9-1-36(a),119
4436,9-1-36(a),9-1-104,9-1-36(a),119
4437,9-1-36(a),9-1-104,9-1-36(a),119
4438,9-1-36(a),9-1-104,9-1-36(a),119
4439,9-1-36(a),9-1-104,9-1-36(a),119
4440,22-2-22,22-2-88(b),22-2-22,11
4441,9-1-36(a),9-1-104,9-1-36(a),119
4442,9-1-36(a),9-1-104,9-1-36(a),119
4443,9-1-36(a),22-2-88(b),9-1-36(a),119
4444,9-1-36(a),22-2-88(b),9-1-36(a),119
4445,22-2-22,22-2-88(b),22-2-22,11
4446,9-1-36(a),9-1-104,9-1-36(a),119
4447,9-1-36(a),9-1-104,9-1-36(a),119
4448,9-1-36(a),9-1-104,9-1-36(a),119
4449,9-1-36(a),9-1-104,9-1-36(a),119
4450,22-2-22,9-1-43(a) - (Dwellin,22-2-22,11
4451,9-1-36(a),9-1-104,9-1-36(a),119
4452,22-2-22,9-1-104,22-2-22,11
4453,9-1-36(a),9-1-104,9-1-36(a),119
4454,9-1-36(a),9-1-104,9-1-36(a),119
4455,9-1-36(a),22-2-88(b),9-1-36(a),119
4456,9-1-36(a),22-2-88(b),9-1-36(a),119
4457,9-1-36(a),9-1-104,9-1-36(a),119
4458,9-1-36(a),9-1-104,9-1-36(a),119
4459,9-1-36(a),9-1-104,9-1-36(a),119
4460,9-1-36(a),9-1-104,9-1-36(a),119
4461,9-1-36(a),22-2-88(b),9-1-36(a),119
4462,9-1-36(a),9-1-104,9-1-36(a),119
4463,9-1-36(a),22-2-88(b),9-1-36(a),119
4464,22-2-22,9-1-104,22-2-22,11
4465,9-1-36(a),9-1-104,9-1-36(a),119
4466,9-1-36(a),9-1-104,9-1-36(a),119
4467,22-2-17,9-1-104,22-2-17,7
4468,9-1-36(a),9-1-104,9-1-36(a),119
4469,9-1-36(a),9-1-104,9-1-36(a),119
4470,9-1-36(a),9-1-104,9-1-36(a),119
4471,9-1-36(a),9-1-104,9-1-36(a),119
4472,9-1-36(a),9-1-104,9-1-36(a),119
4473,9-1-36(a),9-1-104,9-1-36(a),119
4474,9-1-103(C),9-1-104,9-1-103(C),74
4475,9-1-103(C),9-1-104,9-1-103(C),74
4476,9-1-36(a),9-1-104,9-1-36(a),119
4477,22-2-83(a)(b)(c),22-2-88(b),22-2-83(a)(b)(c),25
4478,9-1-36(a),9-1-104,9-1-36(a),119
4479,9-1-36(a),9-1-104,9-1-36(a),119
4480,9-1-36(a),9-1-104,9-1-36(a),119
4481,9-1-36(a),22-2-88(b),9-1-36(a),119
4482,22-2-22,9-1-104,22-2-22,11
4483,9-1-36(a),9-1-104,9-1-36(a),119
4484,9-1-36(a),9-1-104,9-1-36(a),119
4485,22-2-22,9-1-104,22-2-22,11
4486,22-2-22,9-1-104,22-2-22,11
4487,9-1-36(a),9-1-82(b),9-1-36(a),119
4488,22-2-22,9-1-104,22-2-22,11
4489,9-1-36(a),9-1-104,9-1-36(a),119
4490,9-1-36(a),9-1-104,9-1-36(a),119
4491,9-1-36(a),9-1-104,9-1-36(a),119
4492,9-1-36(a),22-2-88(b),9-1-36(a),119
4493,22-2-22,9-1-104,22-2-22,11
4494,9-1-36(a),9-1-104,9-1-36(a),119
4495,9-1-36(a),9-1-104,9-1-36(a),119
4496,9-1-36(a),9-1-104,9-1-36(a),119
4497,9-1-36(a),9-1-104,9-1-36(a),119
4498,9-1-36(a),9-1-104,9-1-36(a),119
4499,22-2-22,9-1-104,22-2-22,11
4500,9-1-36(a),22-2-88(b),9-1-36(a),119
4501,9-1-36(a),9-1-104,9-1-36(a),119
4502,22-2-22,9-1-104,22-2-22,11
4503,9-1-36(a),22-2-88(b),9-1-36(a),119
4504,22-2-22,9-1-104,22-2-22,11
4505,9-1-36(a),9-1-104,9-1-36(a),119
4506,9-1-36(a),9-1-104,9-1-36(a),119
4507,9-1-36(a),9-1-104,9-1-36(a),119
4508,9-1-36(a),9-1-36(a),9-1-36(a),119
4509,9-1-36(a),61-5-18,9-1-36(a),119
4510,61-63.0100,9-1-104,61-63.0100,58
4511,9-1-36(a),9-1-104,9-1-36(a),119
4512,9-1-36(a),22-2-88(b),9-1-36(a),119
4513,22-2-22,9-1-104,22-2-22,11
4514,9-1-36(a),9-1-104,9-1-36(a),119
4515,9-1-36(a),9-1-104,9-1-36(a),119
4516,22-2-22,9-1-104,22-2-22,11
4517,9-1-36(a),9-1-104,9-1-36(a),119
4518,22-2-22,9-1-104,22-2-22,11
4519,9-1-36(a),9-1-104,9-1-36(a),119
4520,22-2-22,9-1-104,22-2-22,11
4521,9-1-36(a),9-1-104,9-1-36(a),119
4522,9-1-36(a),9-1-104,9-1-36(a),119
4523,9-1-36(a),9-1-36(a),9-1-36(a),119
4524,9-1-103(C),22-2-88(b),9-1-103(C),74
4525,9-1-36(a),9-1-104,9-1-36(a),119
4526,9-1-36(a),9-1-104,9-1-36(a),119
4527,9-1-36(a),9-1-104,9-1-36(a),119
4528,22-2-22,9-1-104,22-2-22,11
4529,9-1-36(a),9-1-104,9-1-36(a),119
4530,19450901,9-1-104,19450901,0
4531,9-1-36(a),9-1-104,9-1-36(a),119
4532,9-1-36(a),9-1-104,9-1-36(a),119
4533,22-2-22,9-1-104,22-2-22,11
4534,22-2-22,22-2-88(b),22-2-22,11
4535,9-1-36(a),9-1-104,9-1-36(a),119
4536,9-1-36(a),22-2-88(b),9-1-36(a),119
4537,9-1-36(a),9-1-104,9-1-36(a),119
4538,9-1-36(a),9-1-104,9-1-36(a),119
4539,9-1-36(a),9-1-104,9-1-36(a),119
4540,9-1-36(a),9-1-104,9-1-36(a),119
4541,22-2-22,22-2-88(b),22-2-22,11
4542,22-2-22,9-1-104,22-2-22,11
4543,9-1-36(a),9-1-104,9-1-36(a),119
4544,9-1-36(a),9-1-104,9-1-36(a),119
4545,9-1-36(a),9-1-104,9-1-36(a),119
4546,61-63.0100,9-1-104,61-63.0100,58
4547,61-63.0100,9-1-104,61-63.0100,58
4548,61-63.0100,9-1-104,61-63.0100,58
4549,61-63.0100,9-1-104,61-63.0100,58
4550,9-1-36(a),22-2-88(b),9-1-36(a),119
4551,9-1-103(C),22-2-88(b),9-1-103(C),74
4552,9-1-103(C),9-1-104,9-1-103(C),74
4553,9-1-36(a),9-1-104,9-1-36(a),119
4554,9-1-36(a),9-1-104,9-1-36(a),119
4555,61-63.0100,9-1-110(a),61-63.0100,58
4556,61-63.0100,9-1-104,61-63.0100,58
4557,61-63.0100,9-1-104,61-63.0100,58
4558,9-1-36(a),9-1-104,9-1-36(a),119
4559,9-1-36(a),9-1-104,9-1-36(a),119
4560,9-1-36(a),9-1-104,9-1-36(a),119
4561,9-1-36(a),9-1-104,9-1-36(a),119
4562,22-2-22,9-1-104,22-2-22,11
4563,9-1-36(a),22-2-88(b),9-1-36(a),119
4564,9-1-103(C),22-2-88(b),9-1-103(C),74
4565,22-2-83(a)(b)(c),22-2-88(b),22-2-83(a)(b)(c),25
4566,9-1-36(a),9-1-104,9-1-36(a),119
4567,22-2-22,9-1-104,22-2-22,11
4568,22-2-22,9-1-104,22-2-22,11
4569,9-1-103(C),9-1-104,9-1-103(C),74
4570,9-1-36(a),22-2-88(b),9-1-36(a),119
4571,9-1-103(C),9-1-104,9-1-103(C),74
4572,9-1-36(a),9-1-104,9-1-36(a),119
4573,9-1-36(a),9-1-110(a),9-1-36(a),119
4574,9-1-36(a),9-1-104,9-1-36(a),119
4575,9-1-36(a),22-2-88(b),9-1-36(a),119
4576,9-1-36(a),9-1-104,9-1-36(a),119
4577,9-1-36(a),9-1-104,9-1-36(a),119
4578,9-1-36(a),9-1-104,9-1-36(a),119
4579,9-1-36(a),22-2-88(b),9-1-36(a),119
4580,9-1-36(a),9-1-104,9-1-36(a),119
4581,9-1-36(a),9-1-104,9-1-36(a),119
4582,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
4583,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
4584,9-1-36(a),9-1-104,9-1-36(a),119
4585,9-1-103(C),9-1-104,9-1-103(C),74
4586,9-1-103(C),22-2-88(b),9-1-103(C),74
4587,9-1-103(C),9-1-104,9-1-103(C),74
4588,9-1-36(a),9-1-104,9-1-36(a),119
4589,9-1-36(a),9-1-104,9-1-36(a),119
4590,22-2-22,22-2-88(b),22-2-22,11
4591,9-1-36(a),22-2-88(b),9-1-36(a),119
4592,22-2-22,9-1-104,22-2-22,11
4593,9-1-103(C),9-1-104,9-1-103(C),74
4594,9-1-36(a),9-1-104,9-1-36(a),119
4595,9-1-36(a),9-1-104,9-1-36(a),119
4596,9-1-36(a),9-1-104,9-1-36(a),119
4597,9-1-36(a),22-2-88(b),9-1-36(a),119
4598,9-1-36(a),22-2-88(b),9-1-36(a),119
4599,9-1-36(a),9-1-104,9-1-36(a),119
4600,9-1-36(a),9-1-104,9-1-36(a),119
4601,9-1-36(a),9-1-104,9-1-36(a),119
4602,9-1-36(c),9-1-104,9-1-36(c),120
4603,9-1-36(a),9-1-104,9-1-36(a),119
4604,9-1-36(a),9-1-104,9-1-36(a),119
4605,9-1-36(a),9-1-104,9-1-36(a),119
4606,9-1-36(a),22-2-88(b),9-1-36(a),119
4607,9-1-355,9-1-104,9-1-355,118
4608,9-1-36(a),9-1-104,9-1-36(a),119
4609,9-1-103(C),9-1-104,9-1-103(C),74
4610,9-1-36(a),9-1-104,9-1-36(a),119
4611,22-2-22,22-2-88(b),22-2-22,11
4612,9-1-36(a),9-1-104,9-1-36(a),119
4613,9-1-36(a),22-2-88(b),9-1-36(a),119
4614,9-1-36(a),9-1-36(a),9-1-36(a),119
4615,9-1-36(a),9-1-104,9-1-36(a),119
4616,9-1-36(a),9-1-104,9-1-36(a),119
4617,22-2-22,9-1-104,22-2-22,11
4618,9-1-36(a),22-2-88(a),9-1-36(a),119
4619,22-2-22,9-1-104,22-2-22,11
4620,9-1-36(a),9-1-104,9-1-36(a),119
4621,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
4622,9-1-36(a),22-2-88(b),9-1-36(a),119
4623,9-1-36(a),9-1-104,9-1-36(a),119
4624,9-1-36(a),22-2-88(b),9-1-36(a),119
4625,9-1-36(a),9-1-104,9-1-36(a),119
4626,9-1-36(a),9-1-104,9-1-36(a),119
4627,9-1-36(a),22-2-88(b),9-1-36(a),119
4628,22-2-17,9-1-104,22-2-17,7
4629,9-1-36(a),9-1-104,9-1-36(a),119
4630,9-1-36(a),9-1-36(a),9-1-36(a),119
4631,22-2-22,9-1-83 - (Dwelling),22-2-22,11
4632,9-1-36(a),9-1-81(a),9-1-36(a),119
4633,9-1-103(C),9-1-104,9-1-103(C),74
4634,9-1-36(a),22-2-88(b),9-1-36(a),119
4635,9-1-36(a),9-1-104,9-1-36(a),119
4636,9-1-36(a),22-2-88(b),9-1-36(a),119
4637,22-2-22,9-1-104,22-2-22,11
4638,9-1-36(a),9-1-104,9-1-36(a),119
4639,22-2-17,9-1-104,22-2-17,7
4640,22-2-22,9-1-104,22-2-22,11
4641,9-1-36(a),9-1-104,9-1-36(a),119
4642,9-1-36(a),22-2-88(b),9-1-36(a),119
4643,9-1-36(a),9-1-104,9-1-36(a),119
4644,9-1-36(a),22-2-88(b),9-1-36(a),119
4645,9-1-36(a),9-1-104,9-1-36(a),119
4646,9-1-36(a),9-1-104,9-1-36(a),119
4647,9-1-36(a),9-1-104,9-1-36(a),119
4648,9-1-103(C),9-1-104,9-1-103(C),74
4649,22-2-83(a)(b)(c),9-1-104,22-2-83(a)(b)(c),25
4650,9-1-36(a),9-1-104,9-1-36(a),119
4651,9-1-36(a),9-1-104,9-1-36(a),119
4652,9-1-36(a),22-2-88(b),9-1-36(a),119
4653,9-1-36(a),9-1-104,9-1-36(a),119
4654,9-1-36(c),9-1-82(b),9-1-36(c),120
4655,9-1-310,22-2-88(b),9-1-310,111
4656,9-1-36(a),9-1-104,9-1-36(a),119
4657,9-1-36(a),9-1-104,9-1-36(a),119
4658,9-1-36(a),9-1-104,9-1-36(a),119
4659,9-1-36(c),9-1-104,9-1-36(c),120
4660,9-1-36(a),22-2-88(a),9-1-36(a),119
4661,9-1-36(a),22-2-88(b),9-1-36(a),119
4662,9-1-36(a),22-2-88(b),9-1-36(a),119
4663,22-2-22,9-1-104,22-2-22,11
4664,9-1-36(a),9-1-104,9-1-36(a),119
4665,9-1-103(C),9-1-104,9-1-103(C),74
4666,9-1-103(C),9-1-104,9-1-103(C),74
4667,22-2-88,22-2-88(b),22-2-88,33
4668,9-1-36(a),9-1-104,9-1-36(a),119
4669,9-1-36(a),9-1-104,9-1-36(a),119
4670,22-2-22,22-2-88(b),22-2-22,11
4671,9-1-36(a),22-2-88(b),9-1-36(a),119
4672,9-1-36(a),9-1-104,9-1-36(a),119
4673,9-1-36(a),9-1-104,9-1-36(a),119
4674,9-1-36(a),9-1-104,9-1-36(a),119
4675,9-1-36(a),22-2-88(b),9-1-36(a),119
4676,22-2-17,9-1-104,22-2-17,7
4677,22-2-22,9-1-110(a),22-2-22,11
4678,9-1-36(a),9-1-104,9-1-36(a),119
4679,22-2-22,22-2-88(a),22-2-22,11
4680,9-1-103(C),9-1-104,9-1-103(C),74
4681,22-2-22,9-1-104,22-2-22,11
4682,9-1-36(a),9-1-104,9-1-36(a),119
4683,9-1-36(a),9-1-104,9-1-36(a),119
4684,9-1-36(a),9-1-104,9-1-36(a),119
4685,22-2-22,22-2-88(b),22-2-22,11
4686,9-1-36(a),9-1-104,9-1-36(a),119
4687,9-1-36(a),9-1-104,9-1-36(a),119
4688,61-63.0100,22-2-88(b),61-63.0100,58
4689,9-1-36(a),9-1-104,9-1-36(a),119
4690,22-2-22,22-2-88(b),22-2-22,11
4691,9-1-36(a),9-1-104,9-1-36(a),119
4692,9-1-36(a),22-2-88(b),9-1-36(a),119
4693,9-1-36(a),9-1-50 (e),9-1-36(a),119
4694,22-2-22,9-1-113,22-2-22,11
4695,9-1-36(a),9-1-50(a),9-1-36(a),119
4696,9-1-36(a),22-2-88(b),9-1-36(a),119
4697,9-1-36(a),9-1-104,9-1-36(a),119
4698,9-1-36(a),22-2-88(b),9-1-36(a),119
4699,22-2-22,9-1-104,22-2-22,11
4700,9-1-103(C),9-1-104,9-1-103(C),74
4701,9-1-36(a),9-1-104,9-1-36(a),119
4702,9-1-36(a),9-1-104,9-1-36(a),119
4703,9-1-36(a),9-1-104,9-1-36(a),119
4704,9-1-36(a),9-1-104,9-1-36(a),119
4705,22-2-22,22-2-88(b),22-2-22,11
4706,9-1-36(c),9-1-104,9-1-36(c),120
4707,9-1-36(a),22-2-88(b),9-1-36(a),119
4708,22-2-43,9-1-82(d) - (Dwellin,22-2-43,16
4709,22-2-88,9-1-104,22-2-88,33
4710,9-1-36(a),22-2-88(b),9-1-36(a),119
4711,9-1-36(a),9-1-104,9-1-36(a),119
4712,9-1-36(a),9-1-104,9-1-36(a),119
4713,9-1-36(a),9-1-104,9-1-36(a),119
4714,9-1-36(a),9-1-104,9-1-36(a),119
4715,9-1-36(a),9-1-104,9-1-36(a),119
4716,9-1-36(a),22-2-88(b),9-1-36(a),119
4717,9-1-36(a),9-1-104,9-1-36(a),119
4718,9-1-36(a),9-1-104,9-1-36(a),119
4719,9-1-103(C),9-1-104,9-1-103(C),74
4720,9-1-103(C),9-1-104,9-1-103(C),74
4721,22-2-17,22-2-88(b),22-2-17,7
4722,9-1-36(a),9-1-104,9-1-36(a),119
4723,9-1-103(C),9-1-104,9-1-103(C),74
4724,22-2-22,22-2-88(b),22-2-22,11
4725,9-1-36(a),9-1-104,9-1-36(a),119
4726,9-1-36(a),22-2-88(b),9-1-36(a),119
4727,9-1-36(a),9-1-104,9-1-36(a),119
4728,9-1-104,22-2-88(b),9-1-104,75
